,0,1
969,dokya,34
970,PIPARIYA 02,35
971,gada,34
972,hiwarkhedi-2,34
973,hiwarkhedi-1,34
974,POHAR 01,35
975,hiwarkhedi-1,34
976,batki,23
977,chikhalimal,39
978,bee jamani 1,23
979,devgao_jambada,32
980,pachdhar,39
981,balhora,39
982,RAJANI 01,35
983,rajapur,39
984,dhannudhana_jambada,32
985,bhaduganv,36
986,bee jamani 2,23
987,gehubarsa 2,39
988,gehubarsa 3,39
989,bainganiya,23
990,bisnoor 2,39
991,bisnoor 3,39
992,dodawani1_jambada,32
993,harijandhana ,36
994,jamthi,39
995,SIHAR 02,35
996,dudar,39
997,chikhaliraiyat,39
998,nandkudi,39
999,dodawani2_jambada,32
1000,kanara-2,34
1001,devdongari,39
1002,topidhana,39
1003,SITADHANA,35
1004,sawasan,39
1005,borgaov,39
1006,ajabgarh,39
1007,khedisawaligad-1,34
1008,charsi 2,39
1009,hardouli_jambada,32
1010,morand dol 2,39
1011,khedisawaligad-2,34
1012,dhandiwada,23
1013,jambada1_jambada,32
1014,ghorpend,39
1015,jhunkari,39
1016,chohta 1,36
1017,kumbhikheda,39
1018,kumudra,39
1019,mangonakhurd 1,39
1020,khedisawaligad-4,34
1021,chicholi1,37
1022,amravatighat 1,39
1023,amravatighat 3,39
1024,jambada2_jambada,32
1025,bankabedi1,23
1026,jhadbida1,23
1027,sirkhed,39
1028,jhadbida2,23
1029,mahadgaon,34
1030,tiwarkhed 2,39
1031,tiwarkhed 1,39
1032,kedarkheda_jambada,32
1033,beeltalai,23
1034,pachumari,39
1035,salbardi,39
1036,kalichhapar,23
1037,selgaon,34
1038,vandli 1,39
1039,khanapur_jambada,32
1040,gangapur,39
1041,prabhat pattan 1,39
1042,shivpur2,23
1043,prabhat pattan 4,39
1044,shivpur4,23
1045,korkudhana ,36
1046,narkhed 2,39
1047,shivpur6,23
1048,chimaipur,36
1049,athner 1,33
1050,shivpur7,23
1051,patan ,36
1052,shivpur8,23
1053,athner 2,33
1054,aamadeh,21
1055,gotakhandi,36
1056,shivpur9,23
1057,bhaisadeh 1,23
1058,ward 9 ka kendra 109  02,25
1059,bhaisadeh 2,23
1060,borpend 2,39
1061,mahuaadhana,23
1062,SIVANI,35
1063,chohta 2,36
1064,khedisawaligad-3,34
1065,tekdidhana,36
1066,mangonakhurd 2,39
1067,baijanpur,23
1068,khedisawaligad-5,34
1069,khedisawaligad-5,34
1070,bori ,36
1071,amravatighat 2,39
1072,surajpur,23
1073,khediramosi,39
1074,malegaov,39
1075,jambada3_jambada,32
1076,bankabedi2,23
1077,kunkhedi,36
1078,jambadikhurd_jambada,32
1079,chicholi2,37
1080,mahadgaon,34
1081,tiwarkhed 3,39
1082,kanskhedi,23
1083,silari_1,21
1084,padharkhurd,34
1085,panjhiri,39
1086,silari_2,21
1087,pachmau,39
1088,sarad,34
1089,sawanga,34
1090,dabka,39
1091,sihar,34
1092,vandli karaspani 2,39
1093,charud,39
1094,shivpur1,23
1095,Tigariya,18
1096,gonapure,39
1097,chicholi3,37
1098,prabhat pattan 2,39
1099,prabhat pattan 3,39
1100,kharpadakhedi_jambada,32
1101,chicholi4,37
1102,shivpur3,23
1103,godhni kaloni 5,39
1104,narkhed 1,39
1105,chicholi5,37
1106,narkhed 3,39
1107,shivpur5,23
1108,chandora 2,39
1109,kondarkhapa_jambada,32
1110,sirsawadi,39
1111,athner 9,33
1112,DHAMANGAON 02,35
1113,devbhilai,39
1114,chicholi7,37
1115,palanga 2,36
1116,chicholi8,37
1117,kutkhedi_jambada,32
1118,athner 3,33
1119,takjhiri,36
1120,bamhorikala,21
1121,athner 4,33
1122,devgaov,39
1123,mohta,36
1124,mangonakala,39
1125,athner 5,33
1126,shergad,39
1127,godhni  ,39
1128,bori,21
1129,potla,36
1130,savangi 1,39
1131,reechhi2,23
1132,savangi 2,39
1133,baghoda 1,39
1134,baghoda 2,39
1135,hamidpur,23
1136,baghoda 3,39
1137,athner 8,33
1138,dodajam ,36
1139,chichkheda,39
1140,barkhed 1,33
1141,archanagaon1,23
1142,bhatbori ,36
1143,tingariya 2,36
1144,luchgano2,23
1145,palanga vangram,36
1146,bijori,36
1147,dhamori 1,33
1148,banwari,21
1149,chicholi9,37
1150,tingariya 1,36
1151,reechi1,23
1152,lalawadi1_jambada,32
1153,athner 6,33
1154,athner 7,33
1155,ghodida ,36
1156,buchal,21
1157,ambori,39
1158,bhiladiyakhurd,23
1159,bhalkudhana ,36
1160,lalawadi2_jambada,32
1161,archanagaon2,23
1162,barkhed 2,33
1163,uttari ,36
1164,archanagaon3,23
1165,maholi_jambada,32
1166,bhivapur,33
1167,bhuskumbh,33
1168,luchgaon 1,23
1169,hirankhudi ,36
1170,charghati,33
1171,umariya,23
1172,parsoda_jambada,32
1173,ramgarh,23
1174,dhamori 2,33
1175,karida 1,36
1176,papan,23
1177,rambhakhedi_jambada,32
1178,ghodga,33
1179,chilhati 2 ,39
1180,kalukhapa,21
1181,godighoghra 1,33
1182,karabhuru,36
1183,khairikala-2,21
1184,sirdi 2,39
1185,bhiladiyakhurd1,23
1186,godighoghra 2,33
1187,ranidongari_jambda,32
1188,bhiladiyakhurd2,23
1189,jamapati,33
1190,khairikala-1,21
1191,bheemgaon,23
1192,wadali 2,33
1193,kolgaon,23
1194,kumawad,21
1195,mahatpur 1,38
1196,wadali 1,33
1197,semariya_jambada,32
1198,chapadeodi ,23
1199,popati,36
1200,lanjhi,21
1201,mando,21
1202,medha chindwad 2,33
1203,mokalwada_2,21
1204,BARHAPUR 02,35
